[81] train-err:0.008880 train-nlik:0.051109 valid-err:0.022700 valid-nlik:0.085542 test-err:0.021800 test-nlik:0.078471
[82] train-err:0.008860 train-nlik:0.050827 valid-err:0.022300 valid-nlik:0.085375 test-err:0.021700 test-nlik:0.078229
[83] train-err:0.008640 train-nlik:0.050859 valid-err:0.022100 valid-nlik:0.085427 test-err:0.021400 test-nlik:0.078082
[84] train-err:0.008760 train-nlik:0.050953 valid-err:0.022600 valid-nlik:0.085515 test-err:0.020900 test-nlik:0.077983
[85] train-err:0.008780 train-nlik:0.050824 valid-err:0.022600 valid-nlik:0.085567 test-err:0.021000 test-nlik:0.077782
[86] train-err:0.008880 train-nlik:0.050904 valid-err:0.022400 valid-nlik:0.085703 test-err:0.021000 test-nlik:0.077964
[87] train-err:0.008900 train-nlik:0.050804 valid-err:0.022400 valid-nlik:0.085630 test-err:0.021000 test-nlik:0.077821
[88] train-err:0.008780 train-nlik:0.050673 valid-err:0.022700 valid-nlik:0.085562 test-err:0.021000 test-nlik:0.077786
[89] train-err:0.008700 train-nlik:0.050619 valid-err:0.022700 valid-nlik:0.085586 test-err:0.020900 test-nlik:0.077511
[90] train-err:0.008520 train-nlik:0.050447 valid-err:0.022700 valid-nlik:0.085555 test-err:0.020600 test-nlik:0.077367
[91] train-err:0.008700 train-nlik:0.050410 valid-err:0.022200 valid-nlik:0.085518 test-err:0.021000 test-nlik:0.077349
[92] train-err:0.008760 train-nlik:0.050325 valid-err:0.022300 valid-nlik:0.085506 test-err:0.020800 test-nlik:0.077281
[93] train-err:0.008640 train-nlik:0.050127 valid-err:0.021900 valid-nlik:0.085389 test-err:0.020800 test-nlik:0.077259
[94] train-err:0.008440 train-nlik:0.050094 valid-err:0.022200 valid-nlik:0.085482 test-err:0.020400 test-nlik:0.077267
[95] train-err:0.008360 train-nlik:0.049902 valid-err:0.022400 valid-nlik:0.085332 test-err:0.020500 test-nlik:0.077026
[96] train-err:0.008340 train-nlik:0.049792 valid-err:0.022600 valid-nlik:0.085273 test-err:0.020400 test-nlik:0.076927
[97] train-err:0.008300 train-nlik:0.049709 valid-err:0.022300 valid-nlik:0.085164 test-err:0.020200 test-nlik:0.076797
[98] train-err:0.008280 train-nlik:0.049537 valid-err:0.022500 valid-nlik:0.085077 test-err:0.020400 test-nlik:0.076506
[99] train-err:0.008080 train-nlik:0.049455 valid-err:0.022800 valid-nlik:0.085082 test-err:0.020200 test-nlik:0.076439
[100] train-err:0.008000 train-nlik:0.049380 valid-err:0.022700 valid-nlik:0.084978 test-err:0.020400 test-nlik:0.076410
[101] train-err:0.008020 train-nlik:0.049430 valid-err:0.023000 valid-nlik:0.085066 test-err:0.020100 test-nlik:0.076465
[102] train-err:0.008120 train-nlik:0.049411 valid-err:0.023000 valid-nlik:0.085055 test-err:0.020200 test-nlik:0.076464
[103] train-err:0.008120 train-nlik:0.049449 valid-err:0.023200 valid-nlik:0.084960 test-err:0.020500 test-nlik:0.076420
[104] train-err:0.008100 train-nlik:0.049322 valid-err:0.023400 valid-nlik:0.084725 test-err:0.020400 test-nlik:0.076167
[105] train-err:0.008100 train-nlik:0.049210 valid-err:0.022800 valid-nlik:0.084540 test-err:0.020500 test-nlik:0.076033
[106] train-err:0.008080 train-nlik:0.049031 valid-err:0.023100 valid-nlik:0.084248 test-err:0.020300 test-nlik:0.075806
[107] train-err:0.008020 train-nlik:0.048815 valid-err:0.023200 valid-nlik:0.083968 test-err:0.020000 test-nlik:0.075572
[108] train-err:0.007920 train-nlik:0.048733 valid-err:0.023000 valid-nlik:0.083900 test-err:0.020200 test-nlik:0.075423
[109] train-err:0.007880 train-nlik:0.048632 valid-err:0.022900 valid-nlik:0.083850 test-err:0.020300 test-nlik:0.075244
